,Total Population,Per Capita Income,Residents Below Poverty Line,Poverty Percentage,Location,Year,county,State,Employed Residents,Labor Force,Active Military,Construction Residents,STEM Residents,fips
0,9974203.0,27987.0,824805.0,0.08269382526102587,"Los Angeles County, California",2014,037,06,,,,,,06037
1,152452.0,17797.0,15692.0,0.1029307585338336,"Madera County, California",2014,039,06,,,,,,06039
2,256802.0,58004.0,10290.0,0.04006978138799542,"Marin County, California",2014,041,06,,,,,,06041
3,17946.0,28327.0,1458.0,0.08124373119358075,"Mariposa County, California",2014,043,06,,,,,,06043
4,87612.0,23712.0,8387.0,0.09572889558507967,"Mendocino County, California",2014,045,06,,,,,,06045
5,261609.0,18464.0,31319.0,0.1197168293139762,"Merced County, California",2014,047,06,,,,,,06047
6,9335.0,21830.0,815.0,0.08730583824317087,"Modoc County, California",2014,049,06,,,,,,06049
7,14193.0,29578.0,314.0,0.022123582047488197,"Mono County, California",2014,051,06,,,,,,06051
8,424927.0,25048.0,32797.0,0.07718266902314985,"Monterey County, California",2014,053,06,,,,,,06053
9,139253.0,35092.0,6695.0,0.04807795882314923,"Napa County, California",2014,055,06,,,,,,06055
10,98606.0,32117.0,5817.0,0.05899235340648642,"Nevada County, California",2014,057,06,,,,,,06057
11,3086331.0,34416.0,182425.0,0.05910739969238556,"Orange County, California",2014,059,06,,,,,,06059
12,361518.0,35711.0,15380.0,0.04254283327524494,"Placer County, California",2014,061,06,,,,,,06061
13,19286.0,29167.0,1227.0,0.06362127968474542,"Plumas County, California",2014,063,06,,,,,,06063
14,2266899.0,23660.0,176248.0,0.07774850136684519,"Riverside County, California",2014,065,06,,,,,,06065
15,1450277.0,27071.0,121050.0,0.08346681358112967,"Sacramento County, California",2014,067,06,,,,,,06067
16,56888.0,26317.0,3058.0,0.05375474616790887,"San Benito County, California",2014,069,06,,,,,,06069
17,2078586.0,21384.0,174894.0,0.08414085344556348,"San Bernardino County, California",2014,071,06,,,,,,06071
18,3183143.0,31043.0,213229.0,0.06698693712472233,"San Diego County, California",2014,073,06,,,,,,06073
19,829072.0,49986.0,51732.0,0.06239747573190266,"San Francisco County, California",2014,075,06,,,,,,06075
20,701050.0,22642.0,60798.0,0.08672419941516298,"San Joaquin County, California",2014,077,06,,,,,,06077
21,274184.0,30392.0,18463.0,0.06733799200536866,"San Luis Obispo County, California",2014,079,06,,,,,,06079
22,739837.0,47198.0,25229.0,0.03410075462568106,"San Mateo County, California",2014,081,06,,,,,,06081
23,431555.0,30526.0,33459.0,0.07753125325856496,"Santa Barbara County, California",2014,083,06,,,,,,06083
24,1841569.0,42666.0,84571.0,0.045923340369000566,"Santa Clara County, California",2014,085,06,,,,,,06085
25,267203.0,33050.0,17482.0,0.06542591213422005,"Santa Cruz County, California",2014,087,06,,,,,,06087
26,178520.0,23763.0,14359.0,0.0804335648666816,"Shasta County, California",2014,089,06,,,,,,06089
27,3019.0,28030.0,214.0,0.07088439880755217,"Sierra County, California",2014,091,06,,,,,,06091
28,44261.0,22482.0,4667.0,0.10544271480535912,"Siskiyou County, California",2014,093,06,,,,,,06093
29,421624.0,29132.0,23009.0,0.05457232036126976,"Solano County, California",2014,095,06,,,,,,06095
30,491790.0,33361.0,28223.0,0.057388316151202746,"Sonoma County, California",2014,097,06,,,,,,06097
31,522794.0,21729.0,48182.0,0.09216249612658141,"Stanislaus County, California",2014,099,06,,,,,,06099
32,95067.0,23828.0,7355.0,0.077366488897304,"Sutter County, California",2014,101,06,,,,,,06101
33,63284.0,21002.0,5285.0,0.08351242020099867,"Tehama County, California",2014,103,06,,,,,,06103
34,13515.0,23145.0,1161.0,0.08590455049944506,"Trinity County, California",2014,105,06,,,,,,06105
35,451108.0,17888.0,58938.0,0.130651639962049,"Tulare County, California",2014,107,06,,,,,,06107
36,54347.0,26063.0,3707.0,0.0682098367895192,"Tuolumne County, California",2014,109,06,,,,,,06109
37,835790.0,33308.0,42274.0,0.050579691070723506,"Ventura County, California",2014,111,06,,,,,,06111
38,204162.0,28080.0,17836.0,0.08736199684564219,"Yolo County, California",2014,113,06,,,,,,06113
39,73059.0,19586.0,7521.0,0.1029441957869667,"Yuba County, California",2014,115,06,,,,,,06115
40,461558.0,24667.0,29429.0,0.0637601341543208,"Adams County, Colorado",2014,001,08,,,,,,08001
