,Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description)
32007,40,42,0,0,0,0,Pennsylvania
32008,50,42,1,0,0,0,Adams County
32009,50,42,3,0,0,0,Allegheny County
32010,50,42,5,0,0,0,Armstrong County
32011,50,42,7,0,0,0,Beaver County
32012,50,42,9,0,0,0,Bedford County
32013,50,42,11,0,0,0,Berks County
32014,50,42,13,0,0,0,Blair County
32015,50,42,15,0,0,0,Bradford County
32016,50,42,17,0,0,0,Bucks County
32017,50,42,19,0,0,0,Butler County
32018,50,42,21,0,0,0,Cambria County
32019,50,42,23,0,0,0,Cameron County
32020,50,42,25,0,0,0,Carbon County
32021,50,42,27,0,0,0,Centre County
32022,50,42,29,0,0,0,Chester County
32023,50,42,31,0,0,0,Clarion County
32024,50,42,33,0,0,0,Clearfield County
32025,50,42,35,0,0,0,Clinton County
32026,50,42,37,0,0,0,Columbia County
32027,50,42,39,0,0,0,Crawford County
32028,50,42,41,0,0,0,Cumberland County
32029,50,42,43,0,0,0,Dauphin County
32030,50,42,45,0,0,0,Delaware County
32031,50,42,47,0,0,0,Elk County
32032,50,42,49,0,0,0,Erie County
32033,50,42,51,0,0,0,Fayette County
32034,50,42,53,0,0,0,Forest County
32035,50,42,55,0,0,0,Franklin County
32036,50,42,57,0,0,0,Fulton County
32037,50,42,59,0,0,0,Greene County
32038,50,42,61,0,0,0,Huntingdon County
32039,50,42,63,0,0,0,Indiana County
32040,50,42,65,0,0,0,Jefferson County
32041,50,42,67,0,0,0,Juniata County
32042,50,42,69,0,0,0,Lackawanna County
32043,50,42,71,0,0,0,Lancaster County
32044,50,42,73,0,0,0,Lawrence County
32045,50,42,75,0,0,0,Lebanon County
32046,50,42,77,0,0,0,Lehigh County
32047,50,42,79,0,0,0,Luzerne County
32048,50,42,81,0,0,0,Lycoming County
32049,50,42,83,0,0,0,McKean County
32050,50,42,85,0,0,0,Mercer County
32051,50,42,87,0,0,0,Mifflin County
32052,50,42,89,0,0,0,Monroe County
32053,50,42,91,0,0,0,Montgomery County
32054,50,42,93,0,0,0,Montour County
32055,50,42,95,0,0,0,Northampton County
32056,50,42,97,0,0,0,Northumberland County
32057,50,42,99,0,0,0,Perry County
32058,50,42,101,0,0,0,Philadelphia County
32059,50,42,103,0,0,0,Pike County
32060,50,42,105,0,0,0,Potter County
32061,50,42,107,0,0,0,Schuylkill County
32062,50,42,109,0,0,0,Snyder County
32063,50,42,111,0,0,0,Somerset County
32064,50,42,113,0,0,0,Sullivan County
32065,50,42,115,0,0,0,Susquehanna County
32066,50,42,117,0,0,0,Tioga County
32067,50,42,119,0,0,0,Union County
32068,50,42,121,0,0,0,Venango County
32069,50,42,123,0,0,0,Warren County
32070,50,42,125,0,0,0,Washington County
32071,50,42,127,0,0,0,Wayne County
32072,50,42,129,0,0,0,Westmoreland County
32073,50,42,131,0,0,0,Wyoming County
32074,50,42,133,0,0,0,York County
32075,61,42,1,116,0,0,Abbottstown borough
32076,61,42,1,2928,0,0,Arendtsville borough
32077,61,42,1,5536,0,0,Bendersville borough
32078,61,42,1,5880,0,0,Berwick township
32079,61,42,1,6296,0,0,Biglerville borough
32080,61,42,1,7560,0,0,Bonneauville borough
32081,61,42,1,10456,0,0,Butler township
32082,61,42,1,11472,0,0,Carroll Valley borough
32083,61,42,1,15632,0,0,Conewago township
32084,61,42,1,17640,0,0,Cumberland township
32085,61,42,1,20792,0,0,East Berlin borough
32086,61,42,1,24560,0,0,Fairfield borough
32087,61,42,1,27320,0,0,Franklin township
32088,61,42,1,27704,0,0,Freedom township
32089,61,42,1,28936,0,0,Germany township
32090,61,42,1,28960,0,0,Gettysburg borough
32091,61,42,1,32144,0,0,Hamilton township
32092,61,42,1,32200,0,0,Hamiltonban township
32093,61,42,1,34424,0,0,Highland township
32094,61,42,1,36424,0,0,Huntington township
32095,61,42,1,41672,0,0,Latimore township
32096,61,42,1,43056,0,0,Liberty township
32097,61,42,1,43944,0,0,Littlestown borough
32098,61,42,1,46376,0,0,McSherrystown borough
32099,61,42,1,48608,0,0,Menallen township
32100,61,42,1,51640,0,0,Mount Joy township
32101,61,42,1,51776,0,0,Mount Pleasant township
32102,61,42,1,53920,0,0,New Oxford borough
32103,61,42,1,57472,0,0,Oxford township
32104,61,42,1,63616,0,0,Reading township
32105,61,42,1,74680,0,0,Straban township
32106,61,42,1,78160,0,0,Tyrone township
32107,61,42,1,78264,0,0,Union township
32108,61,42,1,87136,0,0,York Springs borough
32109,61,42,3,724,0,0,Aleppo township
32110,61,42,3,3320,0,0,Aspinwall borough
32111,61,42,3,3608,0,0,Avalon borough
32112,61,42,3,3928,0,0,Baldwin borough
32113,61,42,3,3932,0,0,Baldwin township
32114,61,42,3,5216,0,0,Bell Acres borough
32115,61,42,3,5312,0,0,Bellevue borough
32116,61,42,3,5504,0,0,Ben Avon borough
32117,61,42,3,5520,0,0,Ben Avon Heights borough
32118,61,42,3,6064,0,0,Bethel Park municipality
32119,61,42,3,7000,0,0,Blawnox borough
32120,61,42,3,7976,0,0,Brackenridge borough
32121,61,42,3,7992,0,0,Braddock borough
32122,61,42,3,8008,0,0,Braddock Hills borough
32123,61,42,3,8064,0,0,Bradford Woods borough
32124,61,42,3,8416,0,0,Brentwood borough
32125,61,42,3,8624,0,0,Bridgeville borough
32126,61,42,3,11336,0,0,Carnegie borough
32127,61,42,3,11680,0,0,Castle Shannon borough
32128,61,42,3,12496,0,0,Chalfant borough
32129,61,42,3,13392,0,0,Cheswick borough
32130,61,42,3,13608,0,0,Churchill borough
32131,61,42,3,13704,0,0,Clairton city
32132,61,42,3,15216,0,0,Collier township
32133,61,42,3,16144,0,0,Coraopolis borough
32134,61,42,3,16848,0,0,Crafton borough
32135,61,42,3,17048,0,0,Crescent township
32136,61,42,3,19576,0,0,Dormont borough
32137,61,42,3,19856,0,0,Dravosburg borough
32138,61,42,3,20432,0,0,Duquesne city
32139,61,42,3,21024,0,0,East Deer township
32140,61,42,3,21444,0,0,East McKeesport borough
32141,61,42,3,21712,0,0,East Pittsburgh borough
32142,61,42,3,22520,0,0,Edgewood borough
32143,61,42,3,22576,0,0,Edgeworth borough
32144,61,42,3,22992,0,0,Elizabeth borough
32145,61,42,3,23000,0,0,Elizabeth township
32146,61,42,3,23616,0,0,Emsworth borough
32147,61,42,3,24160,0,0,Etna borough
32148,61,42,3,25400,0,0,Fawn township
32149,61,42,3,25904,0,0,Findlay township
32150,61,42,3,26592,0,0,Forest Hills borough
32151,61,42,3,26896,0,0,Forward township
32152,61,42,3,27120,0,0,Fox Chapel borough
32153,61,42,3,27552,0,0,Franklin Park borough
32154,61,42,3,27608,0,0,Frazer township
32155,61,42,3,29432,0,0,Glassport borough
32156,61,42,3,29592,0,0,Glenfield borough
32157,61,42,3,29732,0,0,Glen Osborne borough
32158,61,42,3,31256,0,0,Green Tree borough
32159,61,42,3,32328,0,0,Hampton township
32160,61,42,3,32624,0,0,Harmar township
32161,61,42,3,32832,0,0,Harrison township
32162,61,42,3,33312,0,0,Haysville borough
32163,61,42,3,33592,0,0,Heidelberg borough
32164,61,42,3,35424,0,0,Homestead borough
